Designator,Mid X,Mid Y,Rotation,Layer
R27,1.53,9.395,270.0,bottom
R28,1.123486,5.14056,90.0,bottom
R29,2.99,9.91,180.0,bottom
R3,28.92,45.27,0.0,bottom
R30,15.82,29.13,90.0,top
R31,14.04,3.95,270.0,bottom
R32,11.980696,12.03024,270.0,bottom
R33,12.0,3.89,90.0,bottom
R34,9.840696,12.03024,90.0,bottom
R35,28.84,2.54,90.0,bottom
R36,37.68,25.83,0.0,top
R37,36.009736,2.726344,90.0,bottom
R38,37.06,12.79,270.0,bottom
R39,14.96,7.29,0.0,top
R4,32.77,46.4725,90.0,bottom
R40,14.97,8.31,0.0,top
R41,34.67,64.33098,0.0,bottom
R42,30.95,2.56,270.0,bottom
R43,33.65,36.63,90.0,bottom
R44,38.149736,2.746344,270.0,bottom
R45,21.85,36.43,90.0,bottom
R46,20.32,16.88,90.0,bottom
R47,29.41,17.59,270.0,bottom
R48,22.83,22.31,180.0,bottom
R49,31.92,26.46,270.0,bottom
R5,31.67,46.4775,270.0,bottom
R50,33.921832,24.650128,270.0,bottom
R51,34.51,14.76,90.0,bottom
R52,15.39764,46.117401,90.0,bottom
R53,21.81,13.29,0.0,bottom
R54,29.42,15.595,90.0,bottom
R55,21.48,23.97,0.0,bottom
R56,29.31,27.32,180.0,bottom
R57,32.931768,24.650128,90.0,bottom
R58,32.601032,14.738032,270.0,bottom
R59,25.18,52.623221,90.0,top
R6,7.86,16.72,90.0,bottom
R60,7.826,41.932,180.0,bottom
R61,6.05,54.19,0.0,bottom
R62,8.05,54.18,0.0,bottom
R63,29.224,54.43,0.0,bottom
R64,29.305,55.479,180.0,bottom
R65,36.66,60.117,270.0,bottom
R66,37.68,60.125,90.0,bottom
R67,25.16,54.553221,90.0,top
R68,20.223593,56.993728,45.0,bottom
R69,14.82868,49.444801,90.0,bottom
R7,9.09,16.74,90.0,bottom
R70,12.92346,50.843141,90.0,bottom
R71,12.60846,53.443141,180.0,bottom
R72,13.48,37.05,0.0,bottom
R73,19.5,22.9,180.0,top
R74,18.0,25.03,90.0,top
R8,11.85,15.69,90.0,bottom
R9,12.93,15.67,90.0,bottom
S1,20.81,31.61,90.0,bottom
S2,3.51,29.45,270.0,bottom
S3,15.01,32.43,90.0,bottom
U1,19.84,10.27,90.0,top
U10,24.878416,15.727616,90.0,bottom
U11,26.4,24.815,90.0,bottom
U12,34.01,19.7,180.0,bottom
U13,22.83,32.30076,0.0,top
U14,19.6696,56.079,0.0,top
U15,8.328,52.098,0.0,bottom
U16,30.0545,51.911,0.0,bottom
U17,34.855,60.188,90.0,bottom
U18,2.96,38.81,270.0,bottom
U19,9.079,39.398,90.0,bottom
U2,19.49,43.08,90.0,top
U20,26.52346,39.733141,0.0,bottom
U3,32.79,43.4225,270.0,bottom
U4,7.09,19.64,90.0,bottom
U5,32.21,37.41,0.0,top
U6,5.26,12.29,90.0,bottom
U7,5.94,4.2,90.0,bottom
U8,29.08,7.52,0.0,bottom
U9,36.709736,7.836344,0.0,bottom
V1,18.38,3.28,0.0,top
X1,16.775006,35.683208,180.0,top
